サポート行動ID
0x00 なし
0x01 薬草笛の技
0x02 回復笛の技
0x03 真・回復笛の技
0x04 解毒・消臭笛の技
0x05 応援笛の技
0x06 鬼人笛の技
0x07 硬化笛の技
0x08 超音波笛の技
0x09 プチタル爆弾の技
0x0A 小タル爆弾の技
0x0B 大タル爆弾の技
0x0C 大タル爆弾Gの技
0x0D 特大タル爆弾の技
0x0E 打ち上げタル爆弾の技
0x0F 閃光爆弾の技
0x10 設置型爆弾の技
0x11 設置型爆弾Gの技
0x12 落とし穴の技
0x13 シビレ罠の技
0x14 毒々落とし穴の技
0x15 トランポリンの技
0x16 ネコ式活力壺の技
0x17 回復贈物の技
0x18 緊急撤退の技
0x19 巨大ブーメランの技
0x1A 貫通ブーメランの技
0x1B 隠密防御の技
0x1C 武器強化の技
0x1D 憤怒の技
0x1E 挑発の技
0x1F オトモ鼓舞の技
0x20 こやし玉の技
0x21 応援ダンスの技
0x22 治・ローリングの技
0x23 爆・ローリングの技
0x24 ぶんどりの技
0x25 遠隔ぶんどりの技
0x26 ネコまっしぐらの技
0x27 ネコ爪乱舞の技
0x28 しこ踏みドンの技
0x29 イガグリ大砲の技
0x2A 電転虫発射の技
0x2B ここ掘れニャンの技
0x2C メガブーメランの技
0x2D ネコ式火竜車の技
0x2E 透明
